mst_vst;yr;mnth;pssgr
Laredo;1979;aug;601
Toledo;1975;mar;288
Arlington;1975;feb;251
Dallas;1975;nov;255
Houston;1977;nov;328
San Francisco;1970;jul;183
Cleveland;1976;oct;329
Chandler;1971;dec;179
Columbus;1979;nov;390
St. Louis;1974;apr;245
Mesa;1979;apr;426
Atlanta;1976;may;342
Philadelphia;1973;dec;217
Bakersfield;1972;jul;248
Chesapeake;1974;mar;253
Phoenix;1979;jun;508
Tulsa;1977;oct;374
Corpus Christi;1978;jul;528
Honolulu;1976;feb;298
Long Beach;1979;sep;498
Anaheim;1971;jan;156
Los Angeles;1977;sep;435
Los Angeles;1973;may;247
Los Angeles;1978;oct;386
St. Paul;1971;sep;198
Omaha;1973;sep;255
San Bernardino;1980;dec;465
Washington;1976;jan;306
Corpus Christi;1970;mar;152
Modesto;1975;apr;290
Tampa;1974;dec;247
Houston;1972;jan;184
San Francisco;1980;nov;420
Rochester;1979;may;452
Washington;1974;jan;220
Philadelphia;1969;nov;112
Bakersfield;1979;jan;387
Chesapeake;1969;mar;142
Phoenix;1977;may;382
Tulsa;1974;may;252
Corpus Christi;1974;jun;284
Honolulu;1971;jun;192
Long Beach;1975;aug;374
Oklahoma City;1978;apr;375
Santa Ana;1971;oct;175
Akron;1976;mar;341
Laredo;1972;feb;194
Toledo;1969;jun;146
Arlington;1969;dec;127
Dallas;1973;mar;254
Jersey City;1977;jan;339
Indianapolis;1978;mar;390
Los Angeles;1969;jul;160
Los Angeles;1980;aug;652
Garland;1974;aug;315
El Paso;1979;dec;436
Memphis;1971;apr;176
Phoenix;1969;may;131
Washington;1973;jul;284
Corpus Christi;1973;nov;194
Modesto;1978;sep;435
Tampa;1973;jun;262
Phoenix;1980;jul;669
Oklahoma City;1972;apr;195
Santa Ana;1975;jun;339
Akron;1977;jun;454
Phoenix;1977;apr;375
Oklahoma City;1979;oct;438
Henderson;1976;sep;382
Long Beach;1980;mar;451
Los Angeles;1975;jul;392
Riverside;1971;jul;214
Los Angeles;1973;apr;253
El Paso;1970;may;135
Memphis;1975;dec;299
Indianapolis;1973;aug;293
Rochester;1970;dec;151
Chula Vista;1972;dec;209
Newark;1977;mar;383
Sacramento;1971;aug;214
Mesa;1977;dec;362
Boston;1970;oct;143
Riverside;1975;sep;336
San Diego;1975;may;291
Plano;1969;feb;127
Madison;1980;sep;547
Jersey City;1978;feb;342
Indianapolis;1980;jan;449
Los Angeles;1969;sep;147
Los Angeles;1974;sep;279
Los Angeles;1971;may;185
Arlington;1973;feb;211
Atlanta;1976;jul;444
Bakersfield;1971;mar;192
Bakersfield;1970;apr;146
Boston;1974;oct;247
Chandler;1969;jan;121
Chesapeake;1972;oct;206
Chesapeake;1975;oct;295
Chula Vista;1978;jun;468
Honolulu;1977;aug;503
Houston;1970;nov;123
Houston;1973;oct;227
Indianapolis;1976;jun;403
Long Beach;1977;feb;324
Los Angeles;1980;may;508
Long Beach;1971;nov;157
Modesto;1972;aug;261
Modesto;1972;nov;185
Newark;1969;aug;160
Oklahoma City;1970;jan;124
Oklahoma City;1978;aug;543
Los Angeles;1978;may;391
Corpus Christi;1980;feb;421
Corpus Christi;1978;dec;363
Corpus Christi;1974;nov;219
Corpus Christi;1970;aug;183
Dallas;1976;nov;292
Dallas;1971;feb;162
El Paso;1977;jul;500
El Paso;1970;sep;170
Los Angeles;1973;jan;211
Los Angeles;1974;jul;325
Oklahoma City;1972;jun;235
San Diego;1972;may;197
San Francisco;1979;feb;368
San Francisco;1980;apr;496
Washington;1980;oct;496
Garland;1976;aug;436
Henderson;1976;dec;329
Honolulu;1978;nov;334
Washington;1974;feb;203
Washington;1969;apr;139
Indianapolis;1978;jan;366
Indianapolis;1972;mar;208
Jersey City;1979;mar;437
Los Angeles;1970;jun;161
Los Angeles;1969;oct;128
Los Angeles;1976;apr;337
Madison;1970;feb;136
Memphis;1980;jun;576
Memphis;1972;sep;225
Mesa;1979;jul;590
Mesa;1975;jan;261
